# ------------------------------------------------------------------
# Generated by forcedphotometry_trim.pl, v3.7 on 2022-09-20 at 16:38:40
#
# Requested input R.A. = 277.553586 degrees
# Requested input Dec. = 0.857855 degrees
# Requested JD start = 2458194.5 days
# Requested JD end = 2459843.5 days
# Authenticated program IDs = 1, 2, 3
#
# Column definitions:
# index = sequential counter
# field = ZTF Field identifier
# ccdid = CCD identifier (1..16)
# qid = Quadrant (CCD-amplifier) identifier (0..3)
# filter = Filter string: ZTF_g, ZTF_r, ZTF_i
# pid = processed image Operations DB identifier
# infobitssci = processing summary/QA bits for sci image
# sciinpseeing = Effective FWHM of sci image [pixels]
# scibckgnd = Background level in sci image [DN]
# scisigpix = Robust sigma per pixel in sci image [DN]
# zpmaginpsci = Photometric zeropoint for sci image [mag]
# zpmaginpsciunc = 1-sigma uncertainty in zpmaginpsci [mag]
# zpmaginpscirms = RMS (deviation from average) in difference between instrumental mags and PS1 calibrators [mag]
# clrcoeff = Linear color coefficient from calibration; for ZTF_g,r,i, PS1 color used is g-r, g-r, r-i respectively
# clrcoeffunc = 1-sigma uncertainty in clrcoeff
# ncalmatches = Number of PS1 calibrators used in initial calibration of sci image
# exptime = Integration time for sci image [sec]
# adpctdif1 = Full sci image astrometric RMS along R.A. with respect to Gaia1 [arcsec]
# adpctdif2 = Full sci image astrometric RMS along Dec. with respect to Gaia1 [arcsec]
# diffmaglim = Magnitude limit in difference image [mag]
# zpdiff = Photometric zeropoint for difference image [mag]
# programid = Program identifier [0=engineering; 1=public; 2=private; 3=Caltech time]
# jd = Julian Date at start of exposure [days]
# rfid = Rerence image Operations DB identifier
# forcediffimflux = Forced difference image PSF-fit flux [DN]
# forcediffimfluxunc = 1-sigma uncertainty in forcediffimflux [DN]
# forcediffimsnr = Signal-to-noise ratio for forcediffimflux measurement
# forcediffimchisq = Reduced chi-square in PSF-fit
# forcediffimfluxap = Forced difference image aperture flux using a fixed 9-pixel diameter aperture [DN]
# forcediffimfluxuncap = 1-sigma uncertainty in forcediffimfluxap [DN]
# forcediffimsnrap = Signal-to-noise ratio for forcediffimfluxap measurement
# aperturecorr = Aperture (curve-of-growth) correction factor that was applied to forcediffimfluxap measurement
# dnearestrefsrc = Distance to nearest ref image source if found within 5 arcsec [arcsec]
# nearestrefmag = Magnitude of nearest ref image source [mag]
# nearestrefmagunc = 1-sigma uncertainty in nearestrefmag [mag]
# nearestrefchi = Chi parameter for nearestrefmag measurement (ratio: RMS in PSF-fit residuals / expected RMS from priors)
# nearestrefsharp = Sharp parameter for nearestrefmag measurement (~0 => PSF like; >>0 => extended; <<0 => pixel spike or hard edge)
# refjdstart = JD of earliest sci image used for ref image [days]
# refjdend = JD of latest sci image used for ref image [days]
# procstatus = Per-epoch processing status codes (0 => no warnings); if non-zero, see accompanying log file and document link below
#
# Documentation: https://zwicky.tf/vgt
#
# ------------------------------------------------------------------
# Order of columns below:
 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 0 486 1 3 ZTF_g 450506740315 0 3.947 100.184 4.83967 25.951 0.00238709 0.0503834 0.0283574 0.00103671 87 30. 0.10498 0.101591 19.8033 25.951 1 2458205.0067477 486120103 -73.3867389687145 33.4719840433486 -2.43888282305018 1.14337054076525 -107.317776563001 43.0525838526926 -2.5095025267784 1.14524947693882 0.887391318589178 22.5659999370575 0.305000007152557 0.899999976158142 -0.670000016689301 2458205.029514 2458334.802222 0
 1 486 1 3 ZTF_g 450529510315 0 2.6648 101.308 8.16419 26.1171 0.00220595 0.0515885 -0.0802223 0.000932381 105 30. 0.060051 0.068612 19.7881 26.1171 1 2458205.0295139 486120103 20.0191615925758 43.3221319738735 0.514032839512617 0.97163211398893 65.1492535557699 68.2136237577418 0.961509357130151 1.07397273218579 0.887391318589178 22.5659999370575 0.305000007152557 0.899999976158142 -0.670000016689301 2458205.029514 2458334.802222 0
 2 435 14 1 ZTF_g 451472695315 0 2.8368 92.3598 10.2416 26.3907 0.00264023 0.0454516 -0.198261 0.00115046 53 30. 0.099826 0.090242 19.7402 26.3907 1 2458205.9726968 435120153 13.8557512924934 58.1255981632768 0.265165760522079 0.935732558263171 -109.36160932343 91.0805650834132 -1.20879976923181 1.07493308424104 0.913625651022964 22.769000005722 0.270999997854233 0.852999985218048 -0.47299998998642 2458206.027373 2458282.858414 0
 3 487 4 2 ZTF_g 451509401415 0 2.5657 124.398 5.11923 25.9669 0.00170702 0.0540959 -0.00708667 0.000666309 233 30. 0.080103 0.069044 20.1862 25.9669 1 2458206.0094097 487120114 35.8426323413819 27.7989685405564 1.43425382409318 0.91254388381987 85.1011839662618 44.9777465305973 1.90481631351364 1.07678271491486 null null null null null 2458206.009410 2458273.943530 57
 4 435 14 1 ZTF_g 451527375315 0 2.7023 98.2268 8.13941 26.3258 0.00278285 0.0568933 -0.113809 0.00117124 78 30. 0.084848 0.0845 19.9992 26.3258 1 2458206.0273727 435120153 33.8785318112939 41.1619786816989 0.915552259591635 0.981691432952646 15.6651932117359 64.761696455738 0.243518932523502 1.08925445313032 0.913625651022964 22.769000005722 0.270999997854233 0.852999985218048 -0.47299998998642 2458206.027373 2458282.858414 0
 5 487 4 2 ZTF_g 451528871415 0 2.6775 125.479 8.35927 26.0767 0.00201524 0.0456244 -0.0528367 0.000828333 116 30. 0.072296 0.071747 19.7279 26.0767 1 2458206.0288773 487120114 51.0891415890056 48.430998365098 1.17343755929298 0.887008438201524 168.389269991003 75.1330157927792 2.25631008716871 1.09504043591769 null null null null null 2458206.009410 2458273.943530 57
 6 435 14 1 ZTF_g 452446465315 0 2.7282 96.1238 14.0361 26.4133 0.00451862 0.0479171 -0.170567 0.00202555 37 30. 0.095458 0.085185 19.4418 26.4133 1 2458206.9464699 435120153 -82.8254117853841 68.1389193009342 -1.3521446793894 1.12622675766872 -144.080952071689 110.826316673513 -1.30881680387239 1.06647170737532 0.913625651022964 22.769000005722 0.270999997854233 0.852999985218048 -0.47299998998642 2458206.027373 2458282.858414 0
 7 487 4 2 ZTF_g 452487621415 0 2.0149 127.065 10.8032 26.0182 0.00236652 0.0518382 -0.0149256 0.000954482 121 30. 0.049956 0.061631 19.5762 26.0182 1 2458206.9876273 487120114 -71.9383482305482 55.6893448506388 -1.43695495463099 0.991322773035753 -41.3822119667174 99.3228704539364 -0.419449451620072 1.06128873145505 null null null null null 2458206.009410 2458273.943530 57
 8 486 1 3 ZTF_g 453467710315 0 2.124 99.4739 13.4207 26.0125 0.00618463 0.0709562 -0.00934403 0.00271281 74 30. 0.051712 0.064648 19.3023 26.0125 1 2458207.9677199 486120103 91.8122984671656 64.6046524139475 1.58085437945013 1.02003455379941 165.485862351271 113.419194418751 1.46889086992032 1.08008024332722 0.887391318589178 22.5659999370575 0.305000007152557 0.899999976158142 -0.670000016689301 2458205.029514 2458334.802222 0
